nutrient_id,name,unit_name
1003,Protein,G
1004,Total lipid (fat),G
1005,"Carbohydrate, by difference",G
1008,Energy,KCAL
1051,Water,G
1087,"Calcium, Ca",MG
1088,"Chlorine, Cl",MG
1089,"Iron, Fe",MG
1090,"Magnesium, Mg",MG
1091,"Phosphorus, P",MG
1092,"Potassium, K",MG
1093,"Sodium, Na",MG
1095,"Zinc, Zn",MG
1098,"Copper, Cu",MG
1100,"Iodine, I",UG
1101,"Manganese, Mn",MG
1103,"Selenium, Se",UG
1104,"Vitamin A, IU",IU
1109,Vitamin E (alpha-tocopherol),MG
1110,"Vitamin D (D2 + D3), International Units",IU
1165,Thiamin,MG
1166,Riboflavin,MG
1167,Niacin,MG
1170,Pantothenic acid,MG
1171,"Vitamin B-6, pyridoxine, alcohol form",MG
1178,Vitamin B-12,UG
1180,"Choline, total",MG
1186,Folic acid,UG
1210,Tryptophan,G
1211,Threonine,G
1212,Isoleucine,G
1213,Leucine,G
1214,Lysine,G
1215,Methionine,G
1217,Phenylalanine,G
1219,Valine,G
1220,Arginine,G
1221,Histidine,G
1229,Cysteine and methionine(sulfer containig AA),G
1230,Phenylalanine and tyrosine (aromatic  AA),G
1272,PUFA 22:6 n-3 (DHA),G
1278,PUFA 20:5 n-3 (EPA),G
1316,"PUFA 18:2 n-6 c,c",G
1404,"PUFA 18:3 n-3 c,c,c (ALA)",G
