nutrient_id,nutrient_name,required_value,value,unit,min_required,max_allowed,ideal_target,meets_min,meets_max,deviation_from_ideal,status
NutrientID.PROTEIN,1003,0,144.10128569041177,G,45.0,,,True,True,,OK
NutrientID.ARGININE,1220,0,5.420905000775931,G,1.28,,,True,True,,OK
NutrientID.HISTIDINE,1221,0,2.7043372734188726,G,0.48,,,True,True,,OK
NutrientID.ISOLEUCINE,1212,0,3.682954330675036,G,0.95,,,True,True,,OK
NutrientID.LEUCINE,1213,0,6.495742626257753,G,1.7,,,True,True,,OK
NutrientID.LYSINE,1214,0,6.884931105396775,G,1.58,,,True,True,,OK
NutrientID.METHIONINE,1215,0,2.141986128479521,G,0.83,,,True,True,,OK
NutrientID.CYSTINE,1216,0,0.8600727213589473,G,1.63,,,False,True,,FAIL
NutrientID.PHENYLALANINE,1217,0,3.251096728893799,G,1.13,,,True,True,,OK
NutrientID.TYROSINE,1218,0,2.55838100104959,G,1.85,,,True,True,,OK
NutrientID.THREONINE,1211,0,3.223347851178659,G,1.2,,,True,True,,OK
NutrientID.TRYPTOPHAN,1210,0,0.42180709240718295,G,0.4,,,True,True,,OK
NutrientID.VALINE,1219,0,4.0940626727794625,G,1.23,,,True,True,,OK
NutrientID.FAT,1004,0,42.446979154761074,G,13.8,,,True,True,,OK
NutrientID.CALCIUM,1087,0,1639.8663965766523,MG,1250.0,4500.0,2000.0,True,True,360.1336034233477,OK
NutrientID.PHOSPHORUS,1091,0,1261.435689674347,MG,1000.0,4000.0,,True,True,,OK
CA_P_RATIO,Ca P Ratio,0,1.300000000000001,,1.0,2.0,1.3,True,True,8.881784197001252e-16,OK
NutrientID.CHLORIDE,1088,0,0.0,G,0.3,,,False,True,,FAIL
NutrientID.POTASSIUM,1092,0,1780.3880747011358,MG,1500.0,,,True,True,,OK
NutrientID.SODIUM,1093,0,486.02077450606856,MG,200.0,,,True,True,,OK
NutrientID.MAGNESIUM,1090,0,184.6832114522261,MG,150.0,,,True,True,,OK
NutrientID.VITAMIN_A,1104,0,1250.0000000000005,IU,1250.0,62500.0,,True,True,,OK
NutrientID.VITAMIN_D,1110,0,124.99999999999999,IU,125.0,750.0,,False,True,,FAIL
NutrientID.VITAMIN_E,1109,0,12.500000000000005,IU,12.5,1000.0,,True,True,,OK
NutrientID.THIAMIN,1165,0,0.14734762016870293,MG,0.56,,,False,True,,FAIL
NutrientID.NIACIN,1167,0,18.945094300907243,MG,3.4,,,True,True,,OK
NutrientID.PYRIDOXINE,1175,0,1.3231298468639192,MG,0.38,,,True,True,,OK
NutrientID.FOLIC_ACID,1186,0,0.0,UG,54.0,,,False,True,,FAIL
NutrientID.CHOLINE,1180,0,272.5921534072236,MG,340.0,,,False,True,,FAIL
NutrientID.VITAMIN_B12,1178,0,7.824826865683399,UG,7.0,,,True,True,,OK
NutrientID.RIBOFLAVIN,1166,0,0.5742197200628957,MG,1.3,,,False,True,,FAIL
NutrientID.PANTOTHENIC_ACID,1170,0,2.1346717989566124,MG,3.0,,,False,True,,FAIL
NutrientID.LA,1269,0,13.2461652088287,G,2.8,,,True,True,,OK
NutrientID.ALA,1404,0,0.13529057525703345,G,,,,True,True,,OK
NutrientID.ARA,1271,0,0.1715279325922084,G,,,,True,True,,OK
NutrientID.EPA,1278,0,0.11971590477089732,G,,,,True,True,,OK
NutrientID.DHA,1272,0,0.16801799402237017,G,,,,True,True,,OK
EPA_DHA_SUM,Epa Dha Sum,0,0.2877338987932675,G,,,,True,True,,OK
N6_N3_RATIO,N6 N3 Ratio,0,31.718479578619935,,,30.0,,True,False,,OK
